test preparation course,sum_score,prep_binary,rank_prep,rank_score,d_i,d_i^2
none,242.0,0.0,688.0,205.0,483.0,233289.0
none,193.0,0.0,688.0,582.0,106.0,11236.0
completed,241.0,1.0,188.0,211.0,-23.0,529.0
none,278.0,0.0,688.0,47.0,641.0,410881.0
none,195.0,0.0,688.0,562.0,126.0,15876.0
none,237.0,0.0,688.0,241.5,446.5,199362.25
completed,104.0,1.0,188.0,985.0,-797.0,635209.0
completed,190.0,1.0,188.0,615.0,-427.0,182329.0
none,247.0,0.0,688.0,174.5,513.5,263682.25
completed,279.0,1.0,188.0,43.5,144.5,20880.25
none,192.0,0.0,688.0,593.0,95.0,9025.0
none,162.0,0.0,688.0,811.0,-123.0,15129.0
completed,271.0,1.0,188.0,71.5,116.5,13572.25
completed,224.0,1.0,188.0,334.0,-146.0,21316.0
none,160.0,0.0,688.0,817.5,-129.5,16770.25
completed,286.0,1.0,188.0,27.0,161.0,25921.0
none,175.0,0.0,688.0,721.5,-33.5,1122.25
completed,155.0,1.0,188.0,844.5,-656.5,430992.25
none,218.0,0.0,688.0,383.5,304.5,92720.25
none,203.0,0.0,688.0,484.5,203.5,41412.25
none,184.0,0.0,688.0,665.5,22.5,506.25
none,251.0,0.0,688.0,153.5,534.5,285690.25
none,165.0,0.0,688.0,795.5,-107.5,11556.25
none,239.0,0.0,688.0,227.5,460.5,212060.25
completed,277.0,1.0,188.0,51.0,137.0,18769.0
completed,132.0,1.0,188.0,946.0,-758.0,574564.0
none,153.0,0.0,688.0,856.0,-168.0,28224.0
completed,169.0,1.0,188.0,770.5,-582.5,339306.25
none,155.0,0.0,688.0,844.5,-156.5,24492.25
completed,227.0,1.0,188.0,310.5,-122.5,15006.25
none,94.0,0.0,688.0,990.0,-302.0,91204.0
none,153.0,0.0,688.0,856.0,-168.0,28224.0
none,207.0,0.0,688.0,456.5,231.5,53592.25
completed,187.0,1.0,188.0,643.5,-455.5,207480.25
completed,245.0,1.0,188.0,182.5,5.5,30.25
none,252.0,0.0,688.0,147.5,540.5,292140.25
none,196.0,0.0,688.0,551.0,137.0,18769.0
none,255.0,0.0,688.0,135.0,553.0,305809.0
completed,234.0,1.0,188.0,268.0,-80.0,6400.0
none,240.0,0.0,688.0,219.5,468.5,219492.25
none,185.0,0.0,688.0,658.5,29.5,870.25
none,171.0,0.0,688.0,755.0,-67.0,4489.0
none,190.0,0.0,688.0,615.0,73.0,5329.0
completed,217.0,1.0,188.0,390.0,-202.0,40804.0
none,167.0,0.0,688.0,781.0,-93.0,8649.0
completed,286.0,1.0,188.0,27.0,161.0,25921.0
completed,203.0,1.0,188.0,484.5,-296.5,87912.25
none,199.0,0.0,688.0,522.5,165.5,27390.25
none,273.0,0.0,688.0,66.0,622.0,386884.0
completed,200.0,1.0,188.0,512.5,-324.5,105300.25
completed,236.0,1.0,188.0,249.0,-61.0,3721.0
completed,206.0,1.0,188.0,463.0,-275.0,75625.0
none,197.0,0.0,688.0,540.0,148.0,21904.0
none,187.0,0.0,688.0,643.5,44.5,1980.25
none,128.0,0.0,688.0,950.0,-262.0,68644.0
none,134.0,0.0,688.0,939.0,-251.0,63001.0
none,159.0,0.0,688.0,823.5,-135.5,18360.25
none,201.0,0.0,688.0,502.0,186.0,34596.0
completed,244.0,1.0,188.0,188.0,0.0,0.0
none,209.0,0.0,688.0,440.0,248.0,61504.0
completed,291.0,1.0,188.0,16.0,172.0,29584.0
completed,213.0,1.0,188.0,411.5,-223.5,49952.25
none,196.0,0.0,688.0,551.0,137.0,18769.0
none,191.0,0.0,688.0,604.0,84.0,7056.0
none,289.0,0.0,688.0,20.5,667.5,445556.25
completed,286.0,1.0,188.0,27.0,161.0,25921.0
none,187.0,0.0,688.0,643.5,44.5,1980.25
completed,199.0,1.0,188.0,522.5,-334.5,111890.25
completed,232.0,1.0,188.0,281.0,-93.0,8649.0
completed,255.0,1.0,188.0,135.0,53.0,2809.0
none,199.0,0.0,688.0,522.5,165.5,27390.25
completed,186.0,1.0,188.0,652.0,-464.0,215296.0
none,259.0,0.0,688.0,112.0,576.0,331776.0
completed,193.0,1.0,188.0,582.0,-394.0,155236.0
completed,215.0,1.0,188.0,402.5,-214.5,46010.25
completed,246.0,1.0,188.0,178.5,9.5,90.25
none,228.0,0.0,688.0,302.0,386.0,148996.0
none,135.0,0.0,688.0,934.5,-246.5,60762.25
none,198.0,0.0,688.0,530.5,157.5,24806.25
none,137.0,0.0,688.0,923.5,-235.5,55460.25
completed,156.0,1.0,188.0,840.0,-652.0,425104.0
none,169.0,0.0,688.0,770.5,-82.5,6806.25
none,287.0,0.0,688.0,23.5,664.5,441560.25
completed,188.0,1.0,188.0,633.0,-445.0,198025.0
none,259.0,0.0,688.0,112.0,576.0,331776.0
none,235.0,0.0,688.0,258.0,430.0,184900.0
none,226.0,0.0,688.0,320.0,368.0,135424.0
none,195.0,0.0,688.0,562.0,126.0,15876.0
none,290.0,0.0,688.0,18.5,669.5,448230.25
none,220.0,0.0,688.0,368.5,319.5,102080.25
completed,140.0,1.0,188.0,912.5,-724.5,524900.25
none,160.0,0.0,688.0,817.5,-129.5,16770.25
none,145.0,0.0,688.0,888.5,-200.5,40200.25
none,200.0,0.0,688.0,512.5,175.5,30800.25
none,170.0,0.0,688.0,763.5,-75.5,5700.25
completed,227.0,1.0,188.0,310.5,-122.5,15006.25
none,154.0,0.0,688.0,850.0,-162.0,26244.0
none,250.0,0.0,688.0,158.5,529.5,280370.25
completed,231.0,1.0,188.0,286.5,-98.5,9702.25
none,174.0,0.0,688.0,730.0,-42.0,1764.0
completed,257.0,1.0,188.0,127.0,61.0,3721.0
completed,220.0,1.0,188.0,368.5,-180.5,32580.25
none,233.0,0.0,688.0,276.0,412.0,169744.0
none,159.0,0.0,688.0,823.5,-135.5,18360.25
none,158.0,0.0,688.0,828.5,-140.5,19740.25
completed,293.0,1.0,188.0,13.0,175.0,30625.0
